199403 73.35 71.45 72.50 36,065 5,844
199403 72.70 71.30 71.85 36,258 7,048
199403 73.10 71.40 71.55 35,938 6,608
199403 72.20 70.55 72.10 35,921 6,710
199403 72.70 70.65 72.50 35,468 9,432
199403 73.35 72.60 73.05 34,952 4,911
199403 73.35 71.60 71.70 35,563 5,455
199403 73.05 71.40 72.95 35,144 7,552
199403 73.80 72.60 73.45 34,671 6,055
199403 74.40 72.75 73.95 34,849 6,538
199403 74.60 73.25 73.70 34,517 5,785
199403 74.90 73.65 74.65 34,216 6,496
199403 74.10 72.00 72.50 33,792 9,940
